date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:13	1641/1641	---MCZ	200	added ('OK')	text/html	etag:W/%22a7ee1c016e87cfdcba27903ec4f35177%22	https://developer.mimik.com/	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/index.html	(from )
17:22:13	67/67	---M--	200	added ('OK')	text/plain	etag:%22fa1ded1ed7c11438a9b0385b1e112850%22	https://developer.mimik.com/robots.txt		(from )
17:22:13	1641/1641	---MCZ	200	added ('OK')	text/html	etag:W/%22a7ee1c016e87cfdcba27903ec4f35177%22	https://developer.mimik.com/favicon.png	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/favicon.html	(from https://developer.mimik.com/)
17:22:14	5027/5027	---M--	200	added ('OK')	image/png	etag:%22b66b7068c93504a9fb4f16620a008162%22	https://developer.mimik.com/logo192.png	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/logo192.png	(from https://developer.mimik.com/)
17:22:15	1280/1280	---M--	200	added ('OK')	image/png	etag:%22878f5e4ec1deb5cc069e3996d711f497%22	https://developer.mimik.com/favicon-32x32.png	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/favicon-32x32.png	(from https://developer.mimik.com/)
17:22:16	820/820	---M--	200	added ('OK')	image/png	etag:%22606573b2d8d412c37c1955b64e3dc98e%22	https://developer.mimik.com/favicon-16x16.png	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/favicon-16x16.png	(from https://developer.mimik.com/)
17:22:17	492/492	---M--	200	added ('OK')	application/json	etag:%22d9d975cebe2ec20b6c652e1e4c12ccf0%22	https://developer.mimik.com/manifest.json	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/manifest.json	(from https://developer.mimik.com/)
17:22:19	645/645	---MC-	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202024%2000:22:18%20GMT	https://fonts.googleapis.com/css2?family=Nunito:wght@400;600;700&display=swap	/Users/seyedsharif/Download/develop.Miphawll/fonts.googleapis.com/css24961.css	(from https://developer.mimik.com/)
17:22:21	273420/273420	---MCZ	200	added ('OK')	text/css	etag:W/%225ef0ef3618cab00cb40b77fde2e68a6b%22	https://developer.mimik.com/static/css/main.77a05589.css	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/static/css/main.77a05589.css	(from https://developer.mimik.com/)
17:22:21	536888/536888	---MCZ	200	added ('OK')	application/javascript	etag:W/%2275f458a31099b231b9c4e330c758bf94%22	https://developer.mimik.com/static/js/main.ca22e340.js	/Users/seyedsharif/Download/develop.Miphawll/developer.mimik.com/static/js/main.ca22e340.js	(from https://developer.mimik.com/)
17:22:21	49276/49276	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Apr%202024%2007:42:51%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	/Users/seyedsharif/Download/develop.Miphawll/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://developer.mimik.com/)
17:22:23	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Apr%202024%2000:22:22%20GMT	https://fonts.googleapis.com/robots.txt		(from https://developer.mimik.com/)
17:22:24	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2024%20Apr%202024%2000:22:22%20GMT	https://px.ads.linkedin.com/collect/?pid=3195972&fmt=gif	/Users/seyedsharif/Download/develop.Miphawll/px.ads.linkedin.com/collect/index39b7.html	(from https://developer.mimik.com/)
17:22:24	368/368	---M-Z	200	added ('OK')	text/plain	etag:%228e1045934efd221ae3e6b1842726b1c86e3f8cd1%22	https://px.ads.linkedin.com/robots.txt		(from https://developer.mimik.com/)
